sample_id	x	q_sample
0	-5.0000000000e-01	1.0149703808e-01
0	-4.9000000000e-01	1.0429790805e-01
0	-4.8000000000e-01	1.0720352924e-01
0	-4.7000000000e-01	1.1021903003e-01
0	-4.6000000000e-01	1.1334962194e-01
0	-4.5000000000e-01	1.1660057806e-01
0	-4.4000000000e-01	1.1997721017e-01
0	-4.3000000000e-01	1.2348484481e-01
0	-4.2000000000e-01	1.2712879812e-01
0	-4.1000000000e-01	1.3091434993e-01
0	-4.0000000000e-01	1.3484671696e-01
0	-3.9000000000e-01	1.3893102544e-01
0	-3.8000000000e-01	1.4317228313e-01
0	-3.7000000000e-01	1.4757535116e-01
0	-3.6000000000e-01	1.5214491552e-01
0	-3.5000000000e-01	1.5688545866e-01
0	-3.4000000000e-01	1.6180123116e-01
0	-3.3000000000e-01	1.6689622371e-01
0	-3.2000000000e-01	1.7217413960e-01
0	-3.1000000000e-01	1.7763836782e-01
0	-3.0000000000e-01	1.8329195694e-01
0	-2.9000000000e-01	1.8913758999e-01
0	-2.8000000000e-01	1.9517756038e-01
0	-2.7000000000e-01	2.0141374914e-01
0	-2.6000000000e-01	2.0784760349e-01
0	-2.5000000000e-01	2.1448011699e-01
0	-2.4000000000e-01	2.2131181126e-01
0	-2.3000000000e-01	2.2834271954e-01
0	-2.2000000000e-01	2.3557237209e-01
0	-2.1000000000e-01	2.4299978349e-01
0	-2.0000000000e-01	2.5062344203e-01
0	-1.9000000000e-01	2.5844130122e-01
0	-1.8000000000e-01	2.6645077339e-01
0	-1.7000000000e-01	2.7464872554e-01
0	-1.6000000000e-01	2.8303147742e-01
0	-1.5000000000e-01	2.9159480181e-01
0	-1.4000000000e-01	3.0033392712e-01
0	-1.3000000000e-01	3.0924354213e-01
0	-1.2000000000e-01	3.1831780303e-01
0	-1.1000000000e-01	3.2755034257e-01
0	-1.0000000000e-01	3.3693428134e-01
0	-9.0000000000e-02	3.4646224112e-01
0	-8.0000000000e-02	3.5612636019e-01
0	-7.0000000000e-02	3.6591831055e-01
0	-6.0000000000e-02	3.7582931693e-01
0	-5.0000000000e-02	3.8585017745e-01
0	-4.0000000000e-02	3.9597128589e-01
0	-3.0000000000e-02	4.0618265540e-01
0	-2.0000000000e-02	4.1647394353e-01
0	-1.0000000000e-02	4.2683447837e-01
0	0.0000000000e+00	4.3725328581e-01
0	1.0000000000e-02	4.4771911764e-01
0	2.0000000000e-02	4.5822048038e-01
0	3.0000000000e-02	4.6874566470e-01
0	4.0000000000e-02	4.7928277525e-01
0	5.0000000000e-02	4.8981976084e-01
0	6.0000000000e-02	5.0034444462e-01
0	7.0000000000e-02	5.1084455437e-01
0	8.0000000000e-02	5.2130775252e-01
0	9.0000000000e-02	5.3172166593e-01
0	1.0000000000e-01	5.4207391518e-01
0	1.1000000000e-01	5.5235214333e-01
0	1.2000000000e-01	5.6254404396e-01
0	1.3000000000e-01	5.7263738843e-01
0	1.4000000000e-01	5.8262005218e-01
