normalization_mode mode3
title l64c64a076_m140_fit_pz7
gm T5
eta eta0
pz 7
bT 0
component real
nstates 2
normalization_sample_domain complex
input_fit_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz7/tables/l64c64a076_m140_fit_pz7_T5_eta0_bT0_real_2state_fit.txt
input_sample_table /Users/xiang/Desktop/codes/lat-hadron-analysis-DA/examples/l64c64a076_m140/analysis/2-bm/results_fit_nst2/l64c64a076_m140_fit_pz7/samples/l64c64a076_m140_fit_pz7_T5_eta0_bT0_real_2state_samples.txt
reference_same_pz_bT0_bz0 l64c64a076_m140_fit_pz7 T5 eta0 pz=7 bT=0 bz=0
reference_pz0_same_bT_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
reference_pz0_bT0_bz0 l64c64a076_m140_fit_pz0 T5 eta0 pz=0 bT=0 bz=0
bz	tmin	tmax	success_bootstrap_center	chi2_dof	pvalue	two_point_fit_tmax	m0_mean	m0_err
0	6	12	1	3.8479812265e+00	7.2176851561e-02	13	1.0000000000e+00	0.0000000000e+00
1	6	12	1	3.8931626463e+00	6.7907797754e-02	13	9.2548170014e-01	3.9000889469e-04
2	6	12	1	3.9959684194e+00	5.5287261837e-02	13	7.8056989959e-01	1.1448840128e-03
3	6	12	1	4.1046682155e+00	4.5232526926e-02	13	6.2036666085e-01	1.8120853370e-03
4	6	12	1	4.0958228023e+00	4.3214523832e-02	13	4.6459522269e-01	2.3236347270e-03
5	6	12	1	3.8659749392e+00	4.8792686387e-02	13	3.2568519549e-01	2.6718259301e-03
6	6	12	1	3.3690109906e+00	6.6189033532e-02	13	2.1024434481e-01	2.8037478299e-03
7	6	12	1	3.4563860251e+00	3.2545305821e-02	13	1.2009643439e-01	2.9340526682e-03
8	6	12	1	4.8457175709e+00	1.6771234634e-03	13	5.4440206278e-02	2.8754683011e-03
9	6	12	1	7.1084935741e+00	2.5050601012e-05	13	1.0713005203e-02	2.7293042156e-03
10	6	12	1	8.1077054567e+00	5.5989885268e-06	13	-1.4791000075e-02	2.4083014706e-03
11	6	12	1	7.0343585498e+00	5.8732460937e-05	13	-2.6686091116e-02	2.3751116809e-03
12	6	12	1	4.8915221066e+00	2.3292631625e-03	13	-2.9793134469e-02	2.5137583154e-03
13	6	12	1	2.9965617386e+00	5.5164893914e-02	13	-2.7205458639e-02	2.6207153425e-03
14	6	12	1	2.3642299324e+00	1.2257233543e-01	13	-2.1863820118e-02	2.8736219605e-03
15	6	12	1	2.4482906061e+00	1.2498553375e-01	13	-1.5725215374e-02	2.7855934782e-03
16	6	12	1	2.8020033909e+00	6.8697165546e-02	13	-1.0317680418e-02	2.4341914795e-03
17	6	12	1	3.1186047406e+00	4.1177714783e-02	13	-6.3573342256e-03	2.2910778607e-03
18	6	12	1	3.3027625264e+00	3.6149334185e-02	13	-3.6374984307e-03	2.3222206321e-03
19	6	12	1	3.6139150789e+00	2.9176194509e-02	13	-2.1332341070e-03	2.5418861956e-03
20	6	12	1	4.3970340949e+00	1.0458551723e-02	13	-1.8089923324e-03	2.5169445505e-03
