pz 8
bT 0
component real
nstates 2
normalization_mode mode3
lattice_spacing_fm 7.6000000000e-02
zstep_fm 1.0000000000e-02
interpolation_kind cubic
x	q_mean	q_err	q_p16	q_p84
-5.0000000000e-01	6.2076907240e-02	1.2793806598e-03	6.0797526580e-02	6.3356287900e-02
-4.9000000000e-01	6.3924631527e-02	1.3016286607e-03	6.2623002866e-02	6.5226260188e-02
-4.8000000000e-01	6.5946410071e-02	1.3427112216e-03	6.4603698850e-02	6.7289121293e-02
-4.7000000000e-01	6.8063768400e-02	1.3418062854e-03	6.6721962114e-02	6.9405574685e-02
-4.6000000000e-01	7.0307910299e-02	1.4152205188e-03	6.8892689780e-02	7.1723130818e-02
-4.5000000000e-01	7.2526746113e-02	1.4469697293e-03	7.1079776384e-02	7.3973715843e-02
-4.4000000000e-01	7.4887039473e-02	1.4680330989e-03	7.3419006374e-02	7.6355072572e-02
-4.3000000000e-01	7.7267043269e-02	1.5166586992e-03	7.5750384570e-02	7.8783701968e-02
-4.2000000000e-01	7.9840556428e-02	1.6142619006e-03	7.8226294527e-02	8.1454818328e-02
-4.1000000000e-01	8.2525143846e-02	1.7123272622e-03	8.0812816583e-02	8.4237471108e-02
-4.0000000000e-01	8.5397321786e-02	1.8052609590e-03	8.3592060827e-02	8.7202582745e-02
-3.9000000000e-01	8.8496445844e-02	1.8593411025e-03	8.6637104742e-02	9.0355786947e-02
-3.8000000000e-01	9.1787334825e-02	1.9424488835e-03	8.9844885941e-02	9.3729783708e-02
-3.7000000000e-01	9.5199126398e-02	2.0421067338e-03	9.3157019664e-02	9.7241233131e-02
-3.6000000000e-01	9.8815193873e-02	2.1141924199e-03	9.6701001453e-02	1.0092938629e-01
-3.5000000000e-01	1.0266582225e-01	2.1795733653e-03	1.0048624888e-01	1.0484539561e-01
-3.4000000000e-01	1.0674263388e-01	2.2068306481e-03	1.0453580323e-01	1.0894946453e-01
-3.3000000000e-01	1.1106146179e-01	2.2977534099e-03	1.0876370838e-01	1.1335921520e-01
-3.2000000000e-01	1.1562472753e-01	2.3948123634e-03	1.1322991516e-01	1.1801953989e-01
-3.1000000000e-01	1.2055694066e-01	2.4875214568e-03	1.1806941920e-01	1.2304446211e-01
-3.0000000000e-01	1.2574757801e-01	2.5638936317e-03	1.2318368438e-01	1.2831147164e-01
-2.9000000000e-01	1.3129085137e-01	2.6679651612e-03	1.2862288621e-01	1.3395881653e-01
-2.8000000000e-01	1.3708124037e-01	2.7122888483e-03	1.3436895152e-01	1.3979352922e-01
-2.7000000000e-01	1.4338562725e-01	2.6652443987e-03	1.4072038285e-01	1.4605087164e-01
-2.6000000000e-01	1.4990701570e-01	2.7006010366e-03	1.4720641466e-01	1.5260761673e-01
-2.5000000000e-01	1.5692193723e-01	2.6820645995e-03	1.5423987263e-01	1.5960400182e-01
-2.4000000000e-01	1.6444497775e-01	2.7823609537e-03	1.6166261679e-01	1.6722733870e-01
-2.3000000000e-01	1.7232448912e-01	2.8632835771e-03	1.6946120555e-01	1.7518777270e-01
-2.2000000000e-01	1.8069107145e-01	2.9379839071e-03	1.7775308755e-01	1.8362905536e-01
-2.1000000000e-01	1.8932515844e-01	2.9782235039e-03	1.8634693494e-01	1.9230338195e-01
-2.0000000000e-01	1.9833404267e-01	2.9415820884e-03	1.9539246058e-01	2.0127562476e-01
-1.9000000000e-01	2.0796634100e-01	2.9623564969e-03	2.0500398451e-01	2.1092869750e-01
-1.8000000000e-01	2.1798948424e-01	3.0272767072e-03	2.1496220753e-01	2.2101676095e-01
-1.7000000000e-01	2.2849327696e-01	3.2006942762e-03	2.2529258268e-01	2.3169397124e-01
-1.6000000000e-01	2.3935276496e-01	3.0831958330e-03	2.3626956913e-01	2.4243596079e-01
-1.5000000000e-01	2.5065906257e-01	3.2985366697e-03	2.4736052590e-01	2.5395759924e-01
-1.4000000000e-01	2.6238140244e-01	3.3475675289e-03	2.5903383491e-01	2.6572896997e-01
-1.3000000000e-01	2.7477760549e-01	3.4373646444e-03	2.7134024085e-01	2.7821497014e-01
-1.2000000000e-01	2.8745715115e-01	3.5714228828e-03	2.8388572827e-01	2.9102857403e-01
-1.1000000000e-01	3.0037168928e-01	3.7326899903e-03	2.9663899929e-01	3.0410437927e-01
-1.0000000000e-01	3.1384012552e-01	4.0014185074e-03	3.0983870701e-01	3.1784154402e-01
-9.0000000000e-02	3.2762321614e-01	4.2710127961e-03	3.2335220334e-01	3.3189422894e-01
-8.0000000000e-02	3.4193559940e-01	4.3654720594e-03	3.3757012734e-01	3.4630107146e-01
-7.0000000000e-02	3.5632596807e-01	4.3680272034e-03	3.5195794087e-01	3.6069399527e-01
-6.0000000000e-02	3.7119973312e-01	4.5251242765e-03	3.6667460885e-01	3.7572485740e-01
-5.0000000000e-02	3.8647205709e-01	4.7505093239e-03	3.8172154777e-01	3.9122256642e-01
-4.0000000000e-02	4.0212632895e-01	5.0198137938e-03	3.9710651516e-01	4.0714614275e-01
-3.0000000000e-02	4.1800163867e-01	4.9855652585e-03	4.1301607341e-01	4.2298720393e-01
-2.0000000000e-02	4.3397532024e-01	5.1117584882e-03	4.2886356175e-01	4.3908707873e-01
-1.0000000000e-02	4.4994085154e-01	5.3279086102e-03	4.4461294293e-01	4.5526876015e-01
0.0000000000e+00	4.6618802521e-01	5.5123531168e-03	4.6067567209e-01	4.7170037833e-01
1.0000000000e-02	4.8264664239e-01	5.5693617927e-03	4.7707728059e-01	4.8821600418e-01
2.0000000000e-02	4.9892051578e-01	5.6542544995e-03	4.9326626128e-01	5.0457477028e-01
3.0000000000e-02	5.1532006271e-01	5.6247107060e-03	5.0969535200e-01	5.2094477342e-01
4.0000000000e-02	5.3172185708e-01	5.5605374468e-03	5.2616131963e-01	5.3728239452e-01
5.0000000000e-02	5.4796667734e-01	5.2778692496e-03	5.4268880809e-01	5.5324454659e-01
6.0000000000e-02	5.6416059189e-01	4.9884776831e-03	5.5917211421e-01	5.6914906957e-01
7.0000000000e-02	5.8049976957e-01	4.5762965433e-03	5.7592347302e-01	5.8507606611e-01
8.0000000000e-02	5.9607707477e-01	4.3006779807e-03	5.9177639679e-01	6.0037775275e-01
9.0000000000e-02	6.1162524801e-01	4.2893680748e-03	6.0733587993e-01	6.1591461608e-01
1.0000000000e-01	6.2691346842e-01	4.2905491368e-03	6.2262291928e-01	6.3120401755e-01
1.1000000000e-01	6.4180958947e-01	4.0572644413e-03	6.3775232503e-01	6.4586685391e-01
1.2000000000e-01	6.5634532110e-01	3.9136980110e-03	6.5243162309e-01	6.6025901911e-01
1.3000000000e-01	6.7021000146e-01	3.8321990353e-03	6.6637780242e-01	6.7404220049e-01
1.4000000000e-01	6.8398288624e-01	3.9221675466e-03	6.8006071869e-01	6.8790505379e-01
1.5000000000e-01	6.9712207003e-01	3.9938929994e-03	6.9312817703e-01	7.0111596303e-01
1.6000000000e-01	7.0977430857e-01	4.0232387557e-03	7.0575106981e-01	7.1379754732e-01
1.7000000000e-01	7.2205682671e-01	4.1455707326e-03	7.1791125598e-01	7.2620239744e-01
1.8000000000e-01	7.3391499910e-01	4.1762945445e-03	7.2973870456e-01	7.3809129365e-01
1.9000000000e-01	7.4501851476e-01	4.1736638098e-03	7.4084485095e-01	7.4919217857e-01
2.0000000000e-01	7.5563262686e-01	4.3905727669e-03	7.5124205410e-01	7.6002319963e-01
2.1000000000e-01	7.6556377679e-01	4.6172758330e-03	7.6094650096e-01	7.7018105262e-01
2.2000000000e-01	7.7481087268e-01	4.6744346543e-03	7.7013643802e-01	7.7948530733e-01
2.3000000000e-01	7.8360250120e-01	4.7011093928e-03	7.7890139180e-01	7.8830361059e-01
2.4000000000e-01	7.9171766311e-01	4.8248244184e-03	7.8689283869e-01	7.9654248753e-01
2.5000000000e-01	7.9935832220e-01	5.0525941514e-03	7.9430572805e-01	8.0441091635e-01
2.6000000000e-01	8.0618313579e-01	5.3893720165e-03	8.0079376378e-01	8.1157250781e-01
2.7000000000e-01	8.1239948994e-01	5.5544239813e-03	8.0684506596e-01	8.1795391392e-01
2.8000000000e-01	8.1848769207e-01	5.4959700971e-03	8.1299172197e-01	8.2398366216e-01
2.9000000000e-01	8.2376272900e-01	5.6813076792e-03	8.1808142132e-01	8.2944403668e-01
3.0000000000e-01	8.2884095838e-01	5.6450427023e-03	8.2319591568e-01	8.3448600108e-01
3.1000000000e-01	8.3306637676e-01	5.4985029235e-03	8.2756787384e-01	8.3856487969e-01
3.2000000000e-01	8.3693307716e-01	5.2656695054e-03	8.3166740766e-01	8.4219874667e-01
3.3000000000e-01	8.4038545616e-01	5.0678410280e-03	8.3531761513e-01	8.4545329719e-01
3.4000000000e-01	8.4340892730e-01	4.7858076106e-03	8.3862311969e-01	8.4819473491e-01
3.5000000000e-01	8.4591578705e-01	4.8064022975e-03	8.4110938476e-01	8.5072218935e-01
3.6000000000e-01	8.4777096187e-01	4.9172032414e-03	8.4285375863e-01	8.5268816511e-01
